index,period,minute,second,possession,duration,statsbomb_xg,penalty_taken_at_home,home_score,away_score,match_week,player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction,outcome
240,2,69,30,148,0.355219,0.76,1,1,3,10,36,113,13,1,1,135,11,3,3,8,4,1
241,2,49,55,90,0.388417,0.76,0,2,1,24,5,5,16,1,1,76,11,3,3,5,8,1
242,1,35,1,89,0.4518,0.76,1,0,3,1,59,133,18,1,1,135,11,3,3,6,4,0
243,1,32,44,61,0.5163,0.76,1,3,0,20,9,104,3,0,1,13,69,3,3,5,8,1
244,2,52,50,135,0.6368,0.76,1,3,1,31,9,104,3,0,1,33,1,3,3,5,6,1
245,2,83,0,194,0.6824,0.76,0,0,3,14,9,104,3,0,1,109,64,3,3,14,8,1
246,1,12,51,32,0.5695,0.76,1,5,0,11,9,104,0,0,1,36,52,3,3,5,9,1
247,2,63,38,144,0.368167,0.76,1,4,0,37,9,104,3,0,1,27,32,3,3,5,8,1
248,2,78,29,170,0.416655,0.76,1,4,0,37,9,104,3,0,1,27,32,3,3,5,7,1
249,2,60,56,137,0.530907,0.76,1,2,0,7,78,127,13,1,1,119,58,6,0,34,8,1
250,2,55,47,106,0.5156,0.76,0,0,2,27,9,104,3,0,1,92,69,3,3,6,8,1
251,2,57,51,142,0.674,0.76,1,2,0,31,9,104,3,0,1,49,7,3,3,5,8,1
252,2,85,32,175,0.5882,0.76,1,4,2,19,9,104,3,0,1,21,72,3,3,5,1,1
253,2,94,40,185,0.4931,0.76,1,0,0,9,9,104,3,0,1,69,80,3,3,5,6,0
254,1,34,13,64,0.6008,0.76,1,4,1,20,9,104,3,0,1,59,57,3,3,5,2,1
255,2,58,46,113,0.566,0.76,1,4,1,20,9,104,3,0,1,59,57,3,3,5,7,1
256,1,23,30,46,2.14811,0.76,1,1,4,32,66,176,0,1,1,135,11,3,3,31,8,0
257,2,85,5,164,0.8337,0.76,0,1,4,32,9,104,3,0,1,112,76,3,3,31,1,1
258,1,22,43,52,0.5164,0.76,1,1,2,34,44,90,0,0,1,135,11,3,3,13,5,1
259,2,71,38,137,0.60163,0.76,0,1,2,34,9,104,0,0,1,52,49,3,3,13,9,1
260,2,61,44,131,0.5935,0.76,0,5,3,29,37,65,7,0,1,135,11,3,3,5,2,1
261,2,88,54,169,1.482528,0.76,0,5,3,29,37,65,7,0,0,135,11,3,3,5,8,1
262,1,27,9,54,0.4185,0.76,1,5,1,21,9,104,3,0,1,7,64,3,3,5,5,1
263,1,41,18,71,0.3856,0.76,1,7,0,1,9,104,3,0,1,82,49,3,3,5,4,1
264,2,86,39,144,0.4084,0.76,1,0,4,13,44,90,0,0,1,135,11,3,3,13,5,0
265,1,38,23,81,0.534452,0.76,0,1,1,22,9,104,3,0,1,134,95,3,3,28,9,1
266,2,73,24,154,0.3583,0.76,0,1,4,4,9,104,3,0,1,98,36,3,3,8,7,1
267,1,35,41,82,0.3026,0.76,1,0,4,5,60,149,19,1,1,135,11,3,3,29,4,0
268,2,56,42,102,0.350468,0.76,0,3,1,18,6,120,3,1,1,25,11,3,3,5,9,1
269,1,25,49,49,0.6413,0.76,1,4,5,8,28,110,13,1,1,135,11,3,3,11,7,1
270,2,76,13,168,0.5913,0.76,0,0,1,31,9,104,3,0,1,45,32,3,3,48,5,1
271,2,63,29,150,1.16,0.76,0,2,3,6,69,80,3,1,1,19,66,4,3,47,5,1
272,2,71,40,164,0.533,0.76,1,1,2,6,70,19,19,1,1,81,62,4,3,74,4,0
273,2,92,10,197,0.572,0.76,0,4,1,14,22,173,18,1,1,81,62,4,3,53,5,1
274,2,55,55,148,1.8,0.76,1,3,1,14,69,127,13,1,1,68,37,4,3,71,9,1
275,1,46,2,92,0.592,0.76,0,1,2,16,56,4,18,0,1,0,94,4,3,50,9,1
276,2,96,33,195,0.535,0.76,1,2,2,19,56,121,9,0,1,79,81,4,3,33,7,0
277,1,30,47,71,0.693,0.76,0,1,4,11,54,111,9,1,1,19,66,4,3,47,9,1
278,2,70,51,131,0.4,0.76,1,2,0,1,26,109,0,1,1,44,60,2,1,63,5,1
279,2,57,9,102,0.56,0.76,1,2,1,1,33,12,3,0,1,96,9,2,1,37,7,1
280,2,61,16,108,0.56,0.76,0,2,1,1,7,132,19,1,1,55,35,2,1,37,8,1
281,2,63,7,89,0.427,0.76,1,1,1,1,1,104,15,0,1,54,39,2,1,44,1,0
282,1,45,42,81,0.613,0.76,1,0,1,1,57,24,0,1,1,80,25,2,1,42,9,0
283,1,34,50,59,0.787,0.76,1,1,2,1,77,53,19,1,1,74,31,2,1,72,5,1
284,2,64,37,124,0.613,0.76,1,1,0,1,73,7,8,1,1,56,83,2,1,65,8,1
285,2,72,40,149,0.533,0.76,0,3,1,2,29,134,18,0,1,60,78,2,1,54,9,1
286,1,5,15,10,1.04,0.76,0,1,2,1,41,160,0,1,1,31,21,2,1,42,2,1
287,1,37,56,58,0.44,0.76,0,1,1,2,7,132,10,1,1,80,25,2,1,55,8,1
288,2,82,8,147,0.72,0.76,0,2,0,2,38,67,11,1,1,44,60,2,1,72,9,0
289,1,6,0,12,0.48,0.76,1,5,2,2,11,42,13,1,1,40,92,2,1,44,5,1
290,1,25,22,54,1.227,0.76,0,1,2,2,50,20,0,0,1,56,83,2,1,52,1,1
291,1,21,35,32,0.493,0.76,1,6,1,2,30,68,9,1,1,66,65,2,1,65,9,1
292,1,45,16,60,0.44,0.76,1,6,1,2,30,68,9,1,1,66,65,2,1,65,4,1
293,2,52,22,82,0.68,0.76,0,1,1,3,58,29,9,1,1,4,40,2,1,42,6,0
294,2,92,47,137,0.693,0.76,1,1,1,3,39,95,2,1,1,115,68,2,1,42,9,1
295,1,40,16,74,0.32,0.76,1,2,1,3,68,51,3,1,1,39,28,2,1,72,5,0
296,1,50,35,85,0.573,0.76,1,2,1,3,68,152,10,0,1,39,28,2,1,72,9,1
