,player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
53,61,52,0,1,1,124,15,1,3,66,8
54,46,27,12,1,1,37,53,1,3,0,8
55,48,138,18,1,1,97,99,1,3,75,4
56,16,23,0,1,1,9,51,1,3,66,1
57,76,145,3,1,1,97,14,1,3,75,6
58,76,142,19,0,1,124,15,1,3,66,5
59,76,142,10,0,1,9,51,1,3,69,5
60,61,52,0,1,1,3,34,1,3,57,4
61,81,98,19,1,1,97,14,1,3,70,9
62,15,54,17,1,1,124,15,1,3,4,4
63,15,97,9,1,1,53,13,1,3,67,9
64,46,128,0,1,1,124,15,1,3,46,5
65,76,145,9,1,1,37,53,1,3,69,5
66,46,128,21,1,1,26,98,1,3,46,9
67,16,171,19,1,1,89,5,1,3,41,8
68,48,63,18,1,1,10,18,1,3,0,2
69,4,100,19,1,1,131,34,1,3,35,8
70,32,106,0,1,1,50,71,1,3,1,5
71,49,96,19,1,1,23,91,1,3,39,2
72,49,96,19,1,1,9,51,1,3,39,8
73,49,96,10,1,1,97,14,1,3,39,3
74,49,96,20,1,1,131,34,1,3,39,5
75,61,52,0,1,1,95,54,1,3,1,2
76,61,52,0,1,1,95,54,1,3,1,9
77,21,118,16,1,1,95,54,1,3,38,5
78,45,134,22,0,1,55,90,0,0,75,6
79,72,79,3,0,1,6,82,6,3,75,3
80,72,79,3,0,1,6,82,6,3,75,7
81,8,153,3,1,1,84,41,6,3,75,5
82,14,9,21,0,1,127,42,6,3,75,5
83,31,138,21,1,1,85,79,6,3,3,9
84,34,48,12,1,1,62,63,6,3,75,5
85,14,121,19,0,1,87,10,6,3,61,5
86,42,172,18,1,1,85,79,6,3,75,8
87,31,138,21,1,1,133,3,6,3,75,7
88,40,28,0,1,1,127,42,6,3,75,5
89,74,43,10,1,1,136,89,6,3,75,4
90,78,19,10,1,1,24,20,6,3,75,9
91,34,168,8,1,1,22,61,6,3,75,9
92,55,22,21,1,1,99,44,6,3,75,5
93,55,72,3,1,1,99,44,6,3,75,5
94,45,169,11,1,1,100,0,0,0,75,5
95,0,26,10,0,1,71,50,0,0,75,9
96,45,38,16,1,1,100,0,0,0,75,4
97,0,6,2,1,1,71,50,0,0,75,5
98,45,39,3,1,1,100,0,0,0,75,8
99,0,83,9,1,1,71,50,0,0,75,5
100,45,81,12,0,1,100,0,0,0,75,5
101,0,146,0,1,1,71,50,0,0,75,9
102,45,166,21,1,1,100,0,0,0,75,6
103,63,29,13,1,1,135,11,3,3,24,5
104,9,104,3,0,1,34,73,3,3,24,7
105,9,104,3,0,1,34,73,3,3,24,9
106,9,136,13,1,1,78,24,3,3,20,8
107,56,121,0,0,1,38,19,7,6,75,7
108,9,107,3,1,1,63,86,3,3,5,7
109,9,107,3,1,1,63,86,3,3,5,9
110,9,136,13,1,1,63,86,3,3,5,2
111,9,104,22,0,0,134,36,3,3,5,1
112,9,104,22,0,1,33,95,3,3,28,5
113,9,104,22,0,1,15,29,3,3,19,1
114,9,136,13,1,1,120,96,3,3,30,4
115,9,104,22,0,1,57,7,3,3,5,8
116,9,104,22,0,1,49,7,3,3,56,5
117,18,82,3,1,1,25,11,3,3,5,4
118,9,104,22,0,1,121,16,3,3,5,9
119,9,104,3,0,1,45,32,3,3,5,5
120,9,104,22,0,1,33,95,3,3,5,2
121,54,41,22,1,1,16,97,7,6,75,5
122,9,104,0,0,1,114,49,3,3,5,9
123,9,104,0,0,1,114,49,3,3,5,9
124,9,104,22,0,1,134,36,3,3,5,8
125,79,31,19,1,1,25,11,3,3,5,5
126,9,104,3,0,1,33,95,3,3,5,9
127,9,107,3,1,1,78,70,3,3,29,0
128,47,167,18,1,1,135,11,3,3,36,2
129,9,104,22,0,1,35,49,3,3,5,8
130,9,104,3,0,1,72,49,3,3,13,9
131,9,104,3,0,1,107,30,3,3,16,5
132,9,107,3,1,1,63,86,3,3,17,3
133,62,87,0,1,1,135,11,3,3,12,4
134,9,104,22,0,1,27,70,3,3,5,8
135,60,2,19,1,1,25,11,3,3,5,9
136,9,104,22,0,1,7,96,3,3,5,9
137,9,104,22,0,1,65,29,3,3,19,7
138,63,29,9,1,1,25,11,3,3,24,8
139,9,78,17,1,1,117,64,3,3,5,9
140,9,104,22,0,1,73,47,3,3,18,9
141,9,136,13,1,1,12,72,3,3,5,9
142,37,58,11,1,1,25,11,3,3,21,7
143,9,104,3,0,1,12,72,3,3,5,2
144,9,104,3,0,1,12,72,3,3,5,6
145,9,104,22,0,1,138,29,3,3,5,0
146,9,104,19,0,1,138,29,3,3,5,7
147,9,104,22,0,1,57,47,3,3,5,4
148,9,136,13,1,1,69,45,3,3,5,9
149,79,126,9,1,1,90,11,3,3,28,7
150,9,104,3,0,1,2,74,3,3,5,7
151,9,104,22,0,1,113,16,3,3,5,5
152,9,104,22,0,1,1,49,3,3,13,9
153,9,107,3,1,1,42,26,3,3,5,4
154,9,104,22,0,1,63,47,3,3,5,6
155,65,130,12,0,1,90,11,3,3,49,2
156,37,175,13,1,1,90,11,3,3,21,5
157,6,156,11,0,1,90,11,3,3,5,8
158,9,104,18,0,1,67,8,3,3,5,4
159,6,156,11,0,1,90,11,3,3,5,8
160,62,158,19,0,1,90,11,3,3,12,5
161,75,147,9,1,1,70,4,5,3,75,7
162,3,164,9,1,1,129,6,5,3,75,7
163,3,164,9,1,1,93,56,5,3,75,8
164,51,123,9,1,1,70,4,5,3,75,4
165,3,164,9,1,1,58,48,5,3,75,5
166,3,164,9,1,1,122,67,5,3,75,2
167,3,164,9,1,0,103,46,5,3,75,1
168,3,164,9,1,1,111,33,5,3,75,2
169,19,140,18,1,0,70,4,5,3,75,1
170,3,164,9,1,0,123,59,5,3,75,2
171,49,151,3,1,1,70,4,5,3,75,9
172,14,121,0,0,1,84,41,6,3,75,8
173,9,150,13,1,1,110,64,3,3,5,5
174,9,150,12,1,1,28,76,3,3,5,5
175,9,154,3,1,1,14,23,3,3,23,4
176,9,150,13,1,1,48,26,3,3,5,9
177,9,150,13,1,1,8,80,3,3,5,8
178,9,150,3,1,1,8,80,3,3,22,2
179,63,151,3,1,1,135,11,3,3,5,8
180,2,122,12,1,1,85,79,6,3,45,0
181,9,150,13,1,1,41,69,3,3,6,8
182,9,150,13,1,1,64,7,3,3,5,8
183,23,56,14,0,1,136,89,6,3,75,9
184,9,150,13,1,1,28,76,3,3,31,8
185,9,150,13,1,1,36,69,3,3,5,2
186,9,150,13,1,1,36,69,3,3,5,9
187,59,57,2,1,1,135,11,3,3,5,8
188,35,155,12,0,1,22,61,6,3,75,8
189,55,22,0,1,1,87,10,6,3,75,8
190,8,153,3,1,1,62,63,6,3,75,9
191,55,66,12,0,1,87,10,6,3,75,8
192,8,46,13,1,1,62,63,6,3,75,5
193,55,118,17,1,1,87,10,6,3,75,5
194,8,162,8,0,1,62,63,6,3,75,7
195,55,71,10,1,1,87,10,6,3,75,7
196,44,144,9,1,1,135,11,3,3,5,5
197,63,151,3,1,1,135,11,3,3,24,8
198,80,116,10,1,1,135,11,3,3,30,1
199,80,116,10,1,1,135,11,3,3,30,2
200,6,37,9,1,1,135,11,3,3,25,2
201,9,104,22,0,1,130,95,3,3,5,2
202,9,104,3,0,1,8,80,3,3,5,8
203,44,45,11,1,1,135,11,3,3,13,8
204,59,49,8,1,1,135,11,3,3,5,5
205,9,104,13,0,1,30,1,3,3,5,1
206,47,85,13,1,1,135,11,3,3,5,2
207,78,127,13,1,1,118,85,6,4,59,5
208,78,127,13,1,1,118,85,6,4,59,5
209,9,150,13,1,1,105,72,3,3,5,9
210,17,77,16,1,1,116,87,6,4,45,5
211,9,150,13,1,1,43,57,3,3,5,9
212,9,150,13,1,1,49,7,3,3,5,5
