player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
Mallorca,Víctor Casadesús Castaño,Right Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Iberostar Estadi,CL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Diego Mariño Villar,Levante,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Jesús Fernández Collado,Levante,La Liga,Regular Season,Estadio Ciudad de Valencia,
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Przemys?aw Tyto?,Elche,La Liga,Regular Season,Estadio Manuel Martínez Valero,LL
Barcelona,Luis Alberto Suárez Díaz,Center Forward,Right Foot,Normal,Iván Cuéllar Sacristán,Sporting Gijón,La Liga,Regular Season,Estadio Municipal El Molinón,LC
Real Betis,Jorge Molina Vidal,Center Attacking Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Benito Villamarín,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Cristian Darío Álvarez,Rayo Vallecano,La Liga,Regular Season,Camp Nou,RL
Rayo Vallecano,Alberto Bueno Calvo,Right Center Midfield,Right Foot,Normal,Claudio Andrés Bravo Muñoz,Barcelona,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Andrés Eduardo Fernández Moreno,Villarreal,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Jaime Jiménez Merlo,Eibar,La Liga,Regular Season,Estadio Municipal de Ipurúa,RH
Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Right Foot,Normal,Claudio Andrés Bravo Muñoz,Barcelona,La Liga,Regular Season,Estadio Santiago Bernabéu,RL
Barcelona,Javier Alejandro Mascherano,Right Center Back,Right Foot,Normal,Salvatore Sirigu,Osasuna,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Jon Ander Serantes Simon,Leganés,La Liga,Regular Season,Estadio Municipal de Butarque,
Barcelona,Neymar da Silva Santos Junior,Left Wing,Right Foot,Normal,Antonio Adán Garrido,Real Betis,La Liga,Regular Season,Camp Nou,
Granada,Francisco Manuel Rico Castro,Left Defensive Midfield,Right Foot,Normal,Claudio Andrés Bravo Muñoz,Barcelona,La Liga,Regular Season,Estadio Nuevo Los Cármenes,RH
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Antonio Adán Garrido,Real Betis,La Liga,Regular Season,Camp Nou,CL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Antonio Adán Garrido,Real Betis,La Liga,Regular Season,Camp Nou,RC
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Yoel Rodríguez Oterino,Eibar,La Liga,Regular Season,Camp Nou,CC
Barcelona,Lionel Andrés Messi Cuccittini,Right Center Midfield,Left Foot,Normal,Yoel Rodríguez Oterino,Eibar,La Liga,Regular Season,Camp Nou,RH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Iago Herrerín Buisán,Leganés,La Liga,Regular Season,Camp Nou,LH
Barcelona,Neymar da Silva Santos Junior,Left Wing,Right Foot,Normal,Javier Varas Herrera,Las Palmas,La Liga,Regular Season,Camp Nou,
Valencia,Maximiliano Gómez González,Left Center Forward,Right Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Estadio de Mestalla,RH
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Alejandro Remiro Gargallo,Real Sociedad,La Liga,Regular Season,Camp Nou,RH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Rubén Blanco Veiga,Celta Vigo,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Aitor Fernández Abarisketa,Levante,La Liga,Regular Season,Estadio Ciudad de Valencia,
Barcelona,Luis Alberto Suárez Díaz,Center Forward,Right Foot,Normal,Fernando Pacheco Flores,Deportivo Alavés,La Liga,Regular Season,Camp Nou,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Iván Cuéllar Sacristán,Leganés,La Liga,Regular Season,Camp Nou,RC
Real Sociedad,Mikel Oyarzabal Ugarte,Left Midfield,Left Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Reale Arena,CL
Granada,Álvaro Vadillo Cifuentes,Left Wing,Right Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Estadio Nuevo Los Cármenes,LL
Atlético Madrid,Saúl Ñíguez Esclapez,Left Defensive Midfield,Left Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,Left Foot,Normal,Jan Oblak,Atlético Madrid,La Liga,Regular Season,Camp Nou,LH
Atlético Madrid,Saúl Ñíguez Esclapez,Left Defensive Midfield,Left Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Camp Nou,RL
Real Betis,Sergio Canales Madrazo,Right Center Midfield,Left Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Estadio Benito Villamarín,LL
Tottenham Hotspur,Robbie Keane,Left Center Forward,Right Foot,Normal,Jens Lehmann,Arsenal,Premier League,Regular Season,,RH
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Normal,Thomas Løvendahl Sørensen,Aston Villa,Premier League,Regular Season,,RH
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Normal,Mark Schwarzer,Middlesbrough,Premier League,Regular Season,,RL
Middlesbrough,Massimo Maccarone,Left Center Forward,Right Foot,Normal,Jens Lehmann,Arsenal,Premier League,Regular Season,,LH
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Normal,Ian Walker,Leicester City,Premier League,Regular Season,,LL
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Normal,Shaka Hislop,Portsmouth,Premier League,Regular Season,,CL
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Lob,Paul Robinson,Leeds United,Premier League,Regular Season,,CH
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Normal,Richard Wright,Everton,Premier League,Regular Season,,CL
Charlton Athletic,Paolo Di Canio,Right Center Forward,Right Foot,Lob,Jens Lehmann,Arsenal,Premier League,Regular Season,,CH
Arsenal,Thierry Henry,Left Center Forward,Right Foot,Lob,Shay Given,Newcastle United,Premier League,Regular Season,,CL
Manchester United,Ruud van Nistelrooy,Center Forward,Right Foot,Normal,Jens Lehmann,Arsenal,Premier League,Regular Season,,
Brazil Women's,Marta Vieira da Silva,Center Attacking Midfield,Left Foot,Normal,Laura Giuliani,Italy Women's,Women's World Cup,Regular Season,,RL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Ricardo Sanzol Goñi,Osasuna,La Liga,Regular Season,Camp Nou,LL
Barcelona,Ronaldo de Assis Moreira,Left Midfield,Right Foot,Normal,César Sánchez Domínguez,Real Zaragoza,La Liga,Regular Season,Camp Nou,LL
Barcelona,"Samuel Eto""o Fils",Center Forward,Right Foot,Normal,Armando Riveiro de Aguilar Malda,Cádiz,La Liga,Regular Season,Estadio Ramón de Carranza,LH
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Franco Costanzo,Deportivo Alavés,La Liga,Regular Season,Camp Nou,
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Andrés Palop Cervera,Sevilla,La Liga,Regular Season,Camp Nou,RL
Barcelona,Ronaldo de Assis Moreira,Center Forward,Right Foot,Normal,Andrés Palop Cervera,Sevilla,La Liga,Regular Season,Estadio Ramón Sánchez Pizjuán,CL
Real Madrid,Ruud van Nistelrooy,Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,RL
Argentina Women's,María Florencia Bonsegundo,Left Midfield,Right Foot,Normal,Lee Alexander,Scotland Women's,Women's World Cup,Regular Season,Parc des Princes,CC
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Felipe Melo de Carvalho,Racing Santander,La Liga,Regular Season,Campos de Sport de El Sardinero,RL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Iñaki Lafuente Sancha,Athletic Bilbao,La Liga,Regular Season,Camp Nou,RL
Chile Women's,Francisca Alejandra Lara Lara,Left Wing Back,Left Foot,Normal,Waraporn Boonsing,Thailand Women's,Women's World Cup,Regular Season,,
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,César Sánchez Domínguez,Real Zaragoza,La Liga,Regular Season,Estadio de la Romareda,RL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Dudú Aouate,Racing Santander,La Liga,Regular Season,Camp Nou,CL
Barcelona,Ronaldo de Assis Moreira,Left Wing,Right Foot,Normal,Dudú Aouate,Racing Santander,La Liga,Regular Season,Camp Nou,
Racing Santander,Francisco Javier Casquero Paredes,Center Defensive Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,RL
Germany Women's,Sara Däbritz,Left Midfield,Left Foot,Normal,Chiamaka Cynthia Nnadozie,Nigeria Women's,Women's World Cup,Regular Season,,RL
Norway Women's,Caroline Graham Hansen,Center Attacking Midfield,Right Foot,Normal,Lydia Williams,Australia Women's,Women's World Cup,Regular Season,,RL
Australia Women's,Samantha Kerr,Center Forward,Right Foot,Normal,Ingrid Hjelmseth,Norway Women's,Women's World Cup,Regular Season,,
Norway Women's,Guro Reiten,Left Midfield,Left Foot,Normal,Lydia Williams,Australia Women's,Women's World Cup,Regular Season,,RL
Australia Women's,Emily Gielnik,Left Wing,Right Foot,Normal,Ingrid Hjelmseth,Norway Women's,Women's World Cup,Regular Season,,LL
Norway Women's,Maren Nævdal Mjelde,Right Center Back,Right Foot,Normal,Lydia Williams,Australia Women's,Women's World Cup,Regular Season,,LL
Australia Women's,Steph Catley,Left Center Back,Left Foot,Normal,Ingrid Hjelmseth,Norway Women's,Women's World Cup,Regular Season,,RH
Norway Women's,Ingrid Syrstad Engen,Left Center Midfield,Right Foot,Normal,Lydia Williams,Australia Women's,Women's World Cup,Regular Season,,RH
Levante,Rahamat Riga Mustapha,Left Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,LL
Real Madrid,Ruud van Nistelrooy,Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Santiago Bernabéu,RL
Villarreal,Marcos Antonio Senna da Silva,Left Center Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio de la Cerámica,CH
Villarreal,Marcos Antonio Senna da Silva,Left Center Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio de la Cerámica,CL
Atlético Madrid,Diego Forlán Corazo,Left Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Vicente Calderón,CL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Timo Hildebrand,Valencia,La Liga,Regular Season,Camp Nou,CL
